identidad_genero;diversidad_sexual;rubro;origen_del_capital;puesto;maximo_nivel_de_formacion;trabajo;libertad_ser;sufrio_acoso;edicion;diversa;manager
Hombre cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario
abandonado";Freelance;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría en curso;Freelance;99;99;2020;0;0
Hombre cis;No;Bancos y Finanzas;Nacional;Gerente;"Universitario
completo";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;"Universitario en
curso";Freelance;99;99;2020;0;0
Mujer cis;No;Comercio;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Hombre cis;Si;Otros;Multinacional;HRBP;"Universitario en
curso";Relación de Dependencia;99;99;2020;1;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;0
Mujer cis;Si;Hotelería;Nacional;Gerente;"Universitario
abandonado";Relación de Dependencia;99;99;2020;1;1
Hombre cis;No;Alimentos;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Analista;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;Si;Transporte;Nacional;Administrativo;"Universitario
completo";Relación de Dependencia;99;99;2020;1;0
Hombre cis;No;Correos;Multinacional;HRBP;"Universitario
completo";Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Tecnología;Nacional;Responsable;"Universitario en
curso";Relación de Dependencia;99;99;2020;0;1
Mujer cis;No;MInería;Multinacional;HRBP;Maestría completa;Relación de Dependencia;99;99;2020;0;0
Hombre cis;No;Textil;Nacional;Analista;Terciario completo;Relación de Dependencia;99;99;2020;0;0
Mujer cis;No;Consultoría Freelance;NA;Consultor Freelance;Maestría completa;Freelance;99;99;2020;0;0
Mujer cis;Si;Consultoría Freelance;NA;Consultor Freelance;"Universitario en
curso";Freelance;99;99;2020;1;0
